contract,feature,IC,p_val,n
J,trade_vol_td7,0.598,0.068,10
J,moc_net_bid_td7,-0.085,0.815,10
J,bid_imbal_td7,-0.43,0.214,10
J,n_trades_td7,0.598,0.068,10
J,moc_vol_td7,0.598,0.068,10
J,vol_zscore_td7,0.564,0.09,10
J,trade_vol_DTE5,-0.067,0.855,10
J,moc_net_bid_DTE5,0.396,0.257,10
J,bid_imbal_DTE5,0.224,0.533,10
J,n_trades_DTE5,-0.067,0.855,10
J,moc_vol_DTE5,-0.067,0.855,10
J,vol_zscore_DTE5,-0.067,0.855,10
J,trade_vol_DTE3,-0.006,0.987,10
J,moc_net_bid_DTE3,0.097,0.789,10
J,bid_imbal_DTE3,0.467,0.174,10
J,n_trades_DTE3,-0.006,0.987,10
J,moc_vol_DTE3,-0.006,0.987,10
J,vol_zscore_DTE3,-0.006,0.987,10
J,bid_imbal_td7_to_dte3,0.455,0.187,10
J,moc_net_hold,0.152,0.676,10
J,trade_vol_hold,-0.146,0.688,10
J,n_days_buy_dom,-0.605,0.064,10
J,n_days_sell_dom,0.068,0.851,10
K,trade_vol_DTE15,0.015,0.967,10
K,moc_net_bid_DTE15,-0.445,0.197,10
K,bid_imbal_DTE15,0.243,0.498,10
K,n_trades_DTE15,0.015,0.967,10
K,moc_vol_DTE15,0.015,0.967,10
K,vol_zscore_DTE15,0.006,0.987,10
K,trade_vol_DTE10,-0.293,0.412,10
K,moc_net_bid_DTE10,-0.723,0.018,10
K,bid_imbal_DTE10,-0.176,0.626,10
K,n_trades_DTE10,-0.219,0.544,10
K,moc_vol_DTE10,-0.293,0.412,10
K,vol_zscore_DTE10,-0.286,0.424,10
K,trade_vol_td7,-0.119,0.744,10
K,moc_net_bid_td7,-0.261,0.466,10
K,bid_imbal_td7,0.498,0.143,10
K,n_trades_td7,-0.119,0.744,10
K,moc_vol_td7,-0.119,0.744,10
K,vol_zscore_td7,-0.128,0.725,10
K,trade_vol_DTE5,-0.009,0.98,10
K,moc_net_bid_DTE5,-0.187,0.606,10
K,bid_imbal_DTE5,-0.079,0.828,10
K,n_trades_DTE5,0.025,0.946,10
K,moc_vol_DTE5,-0.076,0.834,10
K,vol_zscore_DTE5,0.021,0.953,10
K,trade_vol_DTE3,-0.018,0.96,10
K,moc_net_bid_DTE3,-0.577,0.081,10
K,bid_imbal_DTE3,0.024,0.947,10
K,n_trades_DTE3,-0.018,0.96,10
K,moc_vol_DTE3,-0.357,0.312,10
K,vol_zscore_DTE3,0.006,0.987,10
K,bid_imbal_td7_to_dte3,-0.784,0.007,10
K,moc_net_hold,-0.462,0.179,10
K,trade_vol_hold,-0.101,0.782,10
K,n_days_buy_dom,-0.586,0.075,10
K,n_days_sell_dom,0.508,0.134,10
M,trade_vol_DTE15,0.365,0.3,10
M,moc_net_bid_DTE15,-0.116,0.751,10
M,bid_imbal_DTE15,-0.018,0.96,10
M,n_trades_DTE15,0.365,0.3,10
M,moc_vol_DTE15,0.267,0.455,10
M,vol_zscore_DTE15,0.365,0.3,10
M,trade_vol_DTE10,0.663,0.037,10
M,moc_net_bid_DTE10,-0.22,0.542,10
M,bid_imbal_DTE10,0.103,0.777,10
M,n_trades_DTE10,0.663,0.037,10
M,moc_vol_DTE10,0.687,0.028,10
M,vol_zscore_DTE10,0.673,0.033,10
M,trade_vol_td7,0.366,0.298,10
M,moc_net_bid_td7,-0.018,0.96,10
M,bid_imbal_td7,0.261,0.467,10
M,n_trades_td7,0.366,0.298,10
M,moc_vol_td7,0.366,0.298,10
M,vol_zscore_td7,0.366,0.298,10
M,trade_vol_DTE5,0.503,0.138,10
M,moc_net_bid_DTE5,-0.104,0.776,10
M,bid_imbal_DTE5,-0.006,0.987,10
M,n_trades_DTE5,0.503,0.138,10
M,moc_vol_DTE5,0.503,0.138,10
M,vol_zscore_DTE5,0.503,0.138,10
M,trade_vol_DTE3,0.03,0.933,10
M,moc_net_bid_DTE3,0.018,0.96,10
M,bid_imbal_DTE3,0.43,0.214,10
M,n_trades_DTE3,-0.024,0.947,10
M,moc_vol_DTE3,0.03,0.933,10
M,vol_zscore_DTE3,0.03,0.933,10
M,bid_imbal_td7_to_dte3,0.236,0.511,10
M,moc_net_hold,-0.067,0.855,10
M,trade_vol_hold,0.83,0.003,10
M,n_days_buy_dom,0.278,0.437,10
M,n_days_sell_dom,-0.38,0.278,10
N,trade_vol_DTE15,-0.323,0.362,10
N,moc_net_bid_DTE15,0.518,0.125,10
N,bid_imbal_DTE15,0.248,0.489,10
N,n_trades_DTE15,-0.226,0.531,10
N,moc_vol_DTE15,-0.323,0.362,10
N,vol_zscore_DTE15,-0.323,0.362,10
N,trade_vol_DTE10,0.067,0.854,10
N,moc_net_bid_DTE10,0.535,0.111,10
N,bid_imbal_DTE10,0.382,0.276,10
N,n_trades_DTE10,0.067,0.854,10
N,moc_vol_DTE10,0.067,0.854,10
N,vol_zscore_DTE10,0.067,0.854,10
N,trade_vol_td7,0.164,0.651,10
N,moc_net_bid_td7,0.286,0.424,10
N,bid_imbal_td7,-0.067,0.855,10
N,n_trades_td7,0.164,0.651,10
N,moc_vol_td7,0.164,0.651,10
N,vol_zscore_td7,0.164,0.651,10
N,trade_vol_DTE5,-0.591,0.072,10
N,moc_net_bid_DTE5,-0.286,0.424,10
N,bid_imbal_DTE5,-0.309,0.385,10
N,n_trades_DTE5,-0.591,0.072,10
N,moc_vol_DTE5,-0.591,0.072,10
N,vol_zscore_DTE5,-0.578,0.08,10
N,trade_vol_DTE3,-0.492,0.148,10
N,moc_net_bid_DTE3,-0.646,0.043,10
N,bid_imbal_DTE3,0.406,0.244,10
N,n_trades_DTE3,-0.492,0.148,10
N,moc_vol_DTE3,-0.492,0.148,10
N,vol_zscore_DTE3,-0.492,0.148,10
N,bid_imbal_td7_to_dte3,0.236,0.511,10
N,moc_net_hold,-0.353,0.318,10
N,trade_vol_hold,-0.012,0.973,10
N,n_days_buy_dom,0.321,0.366,10
N,n_days_sell_dom,-0.188,0.604,10
Q,trade_vol_DTE15,-0.05,0.898,9
Q,moc_net_bid_DTE15,0.326,0.391,9
Q,bid_imbal_DTE15,0.133,0.732,9
Q,n_trades_DTE15,-0.05,0.898,9
Q,moc_vol_DTE15,-0.05,0.898,9
Q,vol_zscore_DTE15,-0.05,0.898,9
Q,trade_vol_DTE10,0.218,0.574,9
Q,moc_net_bid_DTE10,0.335,0.379,9
Q,bid_imbal_DTE10,-0.4,0.286,9
Q,n_trades_DTE10,0.218,0.574,9
Q,moc_vol_DTE10,0.218,0.574,9
Q,vol_zscore_DTE10,0.218,0.574,9
Q,trade_vol_td7,0.669,0.049,9
Q,moc_net_bid_td7,0.05,0.897,9
Q,bid_imbal_td7,-0.067,0.865,9
Q,n_trades_td7,0.669,0.049,9
Q,moc_vol_td7,0.669,0.049,9
Q,vol_zscore_td7,0.669,0.049,9
Q,trade_vol_DTE5,-0.176,0.651,9
Q,moc_net_bid_DTE5,0.271,0.48,9
Q,bid_imbal_DTE5,0.433,0.244,9
Q,n_trades_DTE5,-0.176,0.651,9
Q,moc_vol_DTE5,-0.176,0.651,9
Q,vol_zscore_DTE5,-0.176,0.651,9
Q,trade_vol_DTE3,-0.017,0.966,9
Q,moc_net_bid_DTE3,0.683,0.042,9
Q,bid_imbal_DTE3,-0.75,0.02,9
Q,n_trades_DTE3,-0.017,0.966,9
Q,moc_vol_DTE3,-0.017,0.966,9
Q,vol_zscore_DTE3,-0.017,0.966,9
Q,bid_imbal_td7_to_dte3,-0.433,0.244,9
Q,moc_net_hold,0.467,0.205,9
Q,trade_vol_hold,-0.067,0.864,9
Q,n_days_buy_dom,0.009,0.983,9
Q,n_days_sell_dom,-0.338,0.374,9
U,trade_vol_DTE15,0.159,0.683,9
U,moc_net_bid_DTE15,0.276,0.472,9
U,bid_imbal_DTE15,0.042,0.915,9
U,n_trades_DTE15,0.159,0.683,9
U,moc_vol_DTE15,0.159,0.683,9
U,vol_zscore_DTE15,0.159,0.683,9
U,trade_vol_DTE10,-0.063,0.872,9
U,moc_net_bid_DTE10,0.471,0.201,9
U,bid_imbal_DTE10,0.075,0.847,9
U,n_trades_DTE10,-0.055,0.889,9
U,moc_vol_DTE10,-0.063,0.872,9
U,vol_zscore_DTE10,-0.075,0.847,9
U,trade_vol_td7,-0.143,0.713,9
U,moc_net_bid_td7,-0.092,0.814,9
U,bid_imbal_td7,-0.142,0.715,9
U,n_trades_td7,-0.143,0.713,9
U,moc_vol_td7,-0.143,0.713,9
U,vol_zscore_td7,-0.159,0.683,9
U,trade_vol_DTE5,-0.117,0.764,9
U,moc_net_bid_DTE5,-0.076,0.847,9
U,bid_imbal_DTE5,0.067,0.864,9
U,n_trades_DTE5,-0.117,0.764,9
U,moc_vol_DTE5,-0.117,0.764,9
U,vol_zscore_DTE5,-0.117,0.764,9
U,trade_vol_DTE3,-0.075,0.847,9
U,moc_net_bid_DTE3,0.059,0.881,9
U,bid_imbal_DTE3,-0.092,0.814,9
U,n_trades_DTE3,-0.075,0.847,9
U,moc_vol_DTE3,-0.075,0.847,9
U,vol_zscore_DTE3,-0.075,0.847,9
U,bid_imbal_td7_to_dte3,0.109,0.781,9
U,moc_net_hold,0.571,0.108,9
U,trade_vol_hold,0.084,0.831,9
U,n_days_buy_dom,-0.221,0.567,9
U,n_days_sell_dom,-0.142,0.716,9
V,trade_vol_DTE15,0.08,0.838,9
V,moc_net_bid_DTE15,0.366,0.333,9
V,bid_imbal_DTE15,-0.092,0.814,9
V,n_trades_DTE15,0.08,0.838,9
V,moc_vol_DTE15,0.08,0.838,9
V,vol_zscore_DTE15,0.08,0.838,9
V,trade_vol_DTE10,0.109,0.781,9
V,moc_net_bid_DTE10,0.622,0.074,9
V,bid_imbal_DTE10,-0.377,0.318,9
V,n_trades_DTE10,0.109,0.781,9
V,moc_vol_DTE10,0.109,0.781,9
V,vol_zscore_DTE10,0.109,0.781,9
V,trade_vol_td7,0.025,0.949,9
V,moc_net_bid_td7,0.226,0.559,9
V,bid_imbal_td7,-0.192,0.62,9
V,n_trades_td7,0.025,0.949,9
V,moc_vol_td7,0.025,0.949,9
V,vol_zscore_td7,0.025,0.949,9
V,trade_vol_DTE5,0.076,0.847,9
V,moc_net_bid_DTE5,0.577,0.104,9
V,bid_imbal_DTE5,-0.444,0.232,9
V,n_trades_DTE5,0.076,0.847,9
V,moc_vol_DTE5,0.076,0.847,9
V,vol_zscore_DTE5,0.076,0.847,9
V,trade_vol_DTE3,-0.185,0.634,9
V,moc_net_bid_DTE3,0.521,0.15,9
V,bid_imbal_DTE3,0.008,0.983,9
V,n_trades_DTE3,-0.185,0.634,9
V,moc_vol_DTE3,-0.185,0.634,9
V,vol_zscore_DTE3,-0.185,0.634,9
V,bid_imbal_td7_to_dte3,0.167,0.667,9
V,moc_net_hold,0.544,0.13,9
V,trade_vol_hold,-0.218,0.574,9
V,n_days_buy_dom,0.087,0.825,9
V,n_days_sell_dom,0.142,0.716,9
X,trade_vol_DTE15,0.278,0.468,9
X,moc_net_bid_DTE15,0.594,0.092,9
X,bid_imbal_DTE15,0.0,1.0,9
X,n_trades_DTE15,0.278,0.468,9
X,moc_vol_DTE15,0.278,0.468,9
X,vol_zscore_DTE15,0.218,0.572,9
X,trade_vol_DTE10,0.309,0.418,9
X,moc_net_bid_DTE10,0.158,0.685,9
X,bid_imbal_DTE10,0.46,0.213,9
X,n_trades_DTE10,0.309,0.418,9
X,moc_vol_DTE10,0.309,0.418,9
X,vol_zscore_DTE10,0.235,0.542,9
X,trade_vol_td7,0.248,0.52,9
X,moc_net_bid_td7,0.612,0.08,9
X,bid_imbal_td7,0.042,0.915,9
X,n_trades_td7,0.248,0.52,9
X,moc_vol_td7,0.248,0.52,9
X,vol_zscore_td7,0.187,0.63,9
X,trade_vol_DTE5,-0.109,0.781,9
X,moc_net_bid_DTE5,0.41,0.273,9
X,bid_imbal_DTE5,0.167,0.667,9
X,n_trades_DTE5,-0.109,0.781,9
X,moc_vol_DTE5,-0.109,0.781,9
X,vol_zscore_DTE5,-0.109,0.781,9
X,trade_vol_DTE3,0.034,0.931,9
X,moc_net_bid_DTE3,0.302,0.43,9
X,bid_imbal_DTE3,0.033,0.932,9
X,n_trades_DTE3,0.034,0.931,9
X,moc_vol_DTE3,0.034,0.931,9
X,vol_zscore_DTE3,0.008,0.983,9
X,bid_imbal_td7_to_dte3,0.243,0.529,9
X,moc_net_hold,0.1,0.797,9
X,trade_vol_hold,-0.084,0.831,9
X,n_days_buy_dom,0.464,0.209,9
X,n_days_sell_dom,0.362,0.338,9
Z,trade_vol_DTE15,0.059,0.881,9
Z,moc_net_bid_DTE15,0.0,1.0,9
Z,bid_imbal_DTE15,0.267,0.488,9
Z,n_trades_DTE15,0.059,0.881,9
Z,moc_vol_DTE15,0.126,0.747,9
Z,vol_zscore_DTE15,0.0,1.0,9
Z,trade_vol_DTE10,0.094,0.811,9
Z,moc_net_bid_DTE10,-0.159,0.683,9
Z,bid_imbal_DTE10,0.133,0.732,9
Z,n_trades_DTE10,0.094,0.811,9
Z,moc_vol_DTE10,0.094,0.811,9
Z,vol_zscore_DTE10,0.109,0.781,9
Z,trade_vol_td7,-0.496,0.175,9
Z,moc_net_bid_td7,0.017,0.965,9
Z,bid_imbal_td7,0.617,0.077,9
Z,n_trades_td7,-0.496,0.175,9
Z,moc_vol_td7,-0.496,0.175,9
Z,vol_zscore_td7,-0.567,0.112,9
Z,trade_vol_DTE5,-0.008,0.983,9
Z,moc_net_bid_DTE5,0.033,0.932,9
Z,bid_imbal_DTE5,-0.117,0.765,9
Z,n_trades_DTE5,-0.008,0.983,9
Z,moc_vol_DTE5,-0.008,0.983,9
Z,vol_zscore_DTE5,0.0,1.0,9
Z,trade_vol_DTE3,0.477,0.194,9
Z,moc_net_bid_DTE3,0.313,0.412,9
Z,bid_imbal_DTE3,-0.183,0.637,9
Z,n_trades_DTE3,0.477,0.194,9
Z,moc_vol_DTE3,-0.244,0.527,9
Z,vol_zscore_DTE3,0.477,0.194,9
Z,bid_imbal_td7_to_dte3,-0.367,0.332,9
Z,moc_net_hold,-0.1,0.798,9
Z,trade_vol_hold,-0.133,0.732,9
Z,n_days_buy_dom,-0.033,0.932,9
Z,n_days_sell_dom,-0.137,0.726,9
